field_id;square_id;column_id;row_id;rapid_difficulty;tent_capacity;is_shop;is_fish;is_mushroom;position
1;1;1;1;0;0;1;0;0;1
2;1;1;1;0;0;0;0;0;8
3;7;1;2;0;0;0;0;0;1
4;7;1;2;0;0;0;0;0;7
5;7;1;2;0;0;0;1;0;6
6;8;2;2;3;0;0;0;0;1
7;2;2;1;0;1;0;0;1;5
8;2;2;1;0;0;0;0;0;3
9;3;3;1;0;0;0;0;0;1
10;3;3;1;0;0;0;0;0;3
11;3;3;1;5;0;0;0;0;8
12;9;3;2;0;0;0;0;0;3
13;9;3;2;0;1;0;1;0;7
14;8;2;2;0;0;0;0;0;8
15;14;2;3;0;0;0;0;0;2
16;14;2;3;4;2;1;0;0;8
17;13;1;3;0;0;0;0;0;9
18;13;1;3;0;0;0;0;1;4
19;19;1;4;0;0;0;0;0;1
20;19;1;4;0;0;0;0;0;8
21;25;1;5;0;1;0;1;0;1
22;25;1;5;0;0;0;0;0;8
23;25;1;5;0;0;0;0;0;3
24;26;2;5;0;0;0;0;0;4
25;26;2;5;6;2;0;0;1;8
26;32;2;6;0;0;0;0;0;1
27;31;1;6;0;1;1;0;0;2
28;31;1;6;0;0;0;0;0;8
29;32;2;6;0;0;0;0;0;8
30;33;3;6;0;0;0;0;0;8
31;34;4;6;0;0;0;1;0;7
32;34;4;6;0;0;0;0;0;6
33;34;4;6;0;1;0;0;0;1
34;33;3;6;0;0;0;0;0;3
35;33;3;6;0;0;0;0;0;1
36;27;3;5;0;0;0;0;1;7
37;27;3;5;7;1;0;0;0;6
38;27;3;5;0;0;0;0;0;1
39;26;2;5;0;0;0;0;0;3
40;20;2;4;0;0;0;0;0;7
41;20;2;4;0;0;0;0;0;2
42;21;3;4;10;2;1;1;0;4
43;21;3;4;0;0;0;0;0;6
44;15;3;3;0;1;0;0;0;7
45;15;3;3;0;0;0;0;0;1
46;15;3;3;0;0;0;0;1;6
47;16;4;3;0;0;0;0;0;4
48;22;4;4;0;0;0;0;0;1
49;22;4;4;0;1;0;1;0;8
50;28;4;5;0;0;0;0;0;3
51;28;4;5;0;0;0;0;0;4
52;28;4;5;9;1;1;0;0;9
53;29;5;5;0;0;0;0;0;1
54;23;5;4;0;0;0;0;0;4
55;22;4;4;0;0;0;0;0;6
56;16;4;3;0;1;0;0;0;3
57;17;5;3;0;0;0;0;0;1
58;11;5;2;8;1;0;1;0;7
59;10;4;2;0;0;0;0;0;9
60;10;4;2;0;0;0;0;1;7
61;4;4;1;0;0;0;0;0;7
62;4;4;1;0;0;0;0;0;2
63;5;5;1;0;0;0;1;0;2
64;6;6;1;11;1;0;0;0;1
65;6;6;1;0;0;0;0;0;6
66;6;6;1;0;0;0;0;0;7
67;5;5;1;0;0;0;0;0;9
68;5;5;1;0;0;0;0;1;7
69;10;4;2;0;0;0;0;0;3
70;11;5;2;10;2;1;0;0;2
71;12;6;2;0;0;0;0;0;3
72;12;6;2;0;0;0;1;0;7
73;17;5;3;0;0;0;0;0;3
74;18;6;3;0;0;0;0;0;2
75;18;6;3;0;0;0;0;0;9
76;17;5;3;0;0;0;0;0;9
77;17;5;3;0;1;0;0;1;7
78;23;5;4;0;0;0;0;0;2
79;24;6;4;0;0;0;0;0;3
80;24;6;4;0;0;0;0;0;8
81;23;5;4;12;1;1;0;0;9
82;30;6;5;0;0;0;0;0;2
83;30;6;5;0;0;0;0;0;8
84;29;5;5;0;1;0;0;0;8
85;35;5;6;12;0;0;1;1;1
86;35;5;6;0;0;0;0;0;8
87;35;5;6;0;0;0;0;0;3
88;36;6;6;0;0;0;0;0;4
89;36;6;6;0;0;0;0;0;3
90;36;6;6;0;0;0;0;0;9
